,Name,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
272,lakhimpur,-13.7,-76.2167,66.25,68.0,0.0,12.66,PE,1629999933.0
273,port macquarie,-0.3167,102.35,72.93,96.0,85.0,1.88,ID,1629999933.0
274,bad driburg,55.1001,-105.2842,64.65,55.0,40.0,8.05,CA,1629999934.0
275,pisco,52.6333,29.7333,56.52,95.0,98.0,4.27,BY,1629999934.0
276,japura,46.4333,26.4,61.72,83.0,43.0,5.68,RO,1629999935.0
277,thilogne,-31.4241,-64.4978,70.88,26.0,0.0,15.01,AR,1629999935.0
278,la ronge,0.8,127.4,78.76,80.0,58.0,2.75,ID,1629999935.0
279,marcona,18.217,-63.0578,89.46,70.0,40.0,13.8,AI,1629999936.0
280,svetlogorsk,7.5264,-12.505,77.7,86.0,100.0,9.4,SL,1629999936.0
281,asau,-28.7667,114.6,55.81,71.0,90.0,9.22,AU,1629999937.0
282,villa carlos paz,40.5614,65.6886,80.1,18.0,0.0,5.37,UZ,1629999844.0
283,ternate,11.6667,92.75,78.91,87.0,100.0,9.04,IN,1629999659.0
284,bonthe,48.1128,-98.8651,58.98,77.0,90.0,12.66,US,1629999930.0
285,geraldton,-23.65,-70.4,60.08,69.0,27.0,9.71,CL,1629999938.0
286,nurota,49.6925,83.2892,58.55,56.0,0.0,5.08,KZ,1629999938.0
287,port blair,43.2731,19.9994,57.69,85.0,65.0,4.38,RS,1629999939.0
288,grand river south east,56.0013,55.9213,55.96,58.0,61.0,8.7,RU,1629999939.0
289,bargal,-22.2763,166.4572,73.38,77.0,61.0,6.2,NC,1629999939.0
290,devils lake,16.9833,73.3,79.9,85.0,100.0,3.89,IN,1629999940.0
291,antofagasta,56.0724,98.4813,59.07,59.0,95.0,2.73,RU,1629999940.0
292,sjenica,53.452,17.5317,58.48,66.0,100.0,5.1,PL,1629999940.0
293,starobaltachevo,-34.0033,24.7314,55.89,94.0,13.0,4.34,ZA,1629999941.0
294,noumea,-3.945,122.4989,73.17,95.0,98.0,3.18,ID,1629999941.0
295,ratnagiri,66.5606,67.7975,40.93,96.0,100.0,20.02,RU,1629999942.0
296,kvitok,44.7631,-85.6206,82.83,69.0,75.0,3.44,US,1629999942.0
297,tumannyy,6.3711,126.1689,80.74,73.0,92.0,0.83,PH,1629999942.0
298,sepolno krajenskie,-4.9714,-39.0153,96.53,26.0,3.0,10.18,BR,1629999943.0
299,kruisfontein,-17.7125,-39.2481,78.71,63.0,11.0,10.96,BR,1629999943.0
300,kendari,52.6333,126.75,59.2,98.0,100.0,7.16,RU,1629999944.0
301,aksarka,50.6996,-127.4199,57.38,100.0,75.0,8.05,CA,1629999944.0
302,traverse city,43.3439,46.8541,75.16,71.0,78.0,4.83,RU,1629999944.0
303,pundaguitan,-15.7667,128.7333,72.5,25.0,20.0,7.14,AU,1629999945.0
304,quixada,52.1667,14.25,59.05,80.0,99.0,3.0,DE,1629999945.0
305,sivaki,24.4667,54.3667,96.91,75.0,1.0,8.05,AE,1629999945.0
306,port hardy,43.65,25.1167,77.72,60.0,58.0,6.93,BG,1629999946.0
307,kostek,35.7333,140.8333,79.2,85.0,95.0,0.83,JP,1629999946.0
308,kununurra,48.7823,9.177,63.05,68.0,20.0,9.22,DE,1629999817.0
309,beeskow,-35.6566,-63.7568,71.46,16.0,26.0,19.84,AR,1629999947.0
310,skalistyy,13.5859,102.9737,76.26,92.0,98.0,4.65,KH,1629999947.0
311,abu dhabi,26.9147,70.9181,84.7,56.0,15.0,24.56,IN,1629999948.0
312,belene,-2.5744,150.7967,81.57,78.0,93.0,14.72,PG,1629999948.0
313,hasaki,51.7435,111.9606,51.96,71.0,100.0,3.85,RU,1629999948.0
314,stuttgart,64.2539,-15.2082,54.19,99.0,99.0,9.08,IS,1629999949.0
315,general pico,-0.9131,122.8766,74.98,85.0,98.0,6.42,ID,1629999949.0
316,jaisalmer,40.8068,-74.1854,95.94,54.0,20.0,1.01,US,1629999796.0
